treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,code_num_comments,docstring_num_lines,docstring_num_words,docstring_num_sentences
0,0,25,1,6,9,0,1,18,0
1,1,28,2,4,3,0,1,9,1
0,0,82,7,8,3,0,1,12,0
0,1,43,6,2,2,0,1,12,1
0,0,34,4,4,5,0,1,7,1
0,1,181,1,10,7,0,1,7,0
1,1,56,8,3,4,0,1,25,5
0,0,14,2,2,0,0,1,19,2
0,0,20,2,1,0,0,1,18,1
0,0,11,1,1,1,0,1,9,1
0,0,114,5,15,36,0,1,5,1
0,0,89,6,9,1,0,1,10,1
1,0,54,7,5,4,0,1,5,1
1,0,13,1,0,1,0,1,2,0
0,0,18,3,1,1,0,1,8,0
0,1,22,3,1,5,0,1,11,1
0,1,20,2,3,1,0,1,9,1
1,1,87,7,3,2,0,1,60,3
0,0,11,2,0,2,0,1,4,1
0,1,14,1,2,1,0,1,32,2
1,1,134,9,4,10,0,1,9,1
1,1,12,1,1,0,0,1,8,1
0,0,52,4,5,1,0,1,7,1
0,0,76,4,11,9,0,1,7,1
1,1,7,1,1,0,0,1,47,2
1,1,55,2,12,7,0,1,14,0
0,1,7,1,0,0,0,1,3,0
0,1,11,1,0,1,0,1,3,0
1,1,35,2,0,13,0,1,24,1
0,0,66,5,7,6,0,1,8,1
1,0,96,10,4,2,0,1,24,2
1,1,63,8,4,2,0,1,38,2
1,1,12,1,2,0,0,1,29,1
0,1,13,1,2,0,0,1,16,1
0,1,76,7,2,5,0,1,10,1
0,0,43,2,0,0,0,1,10,1
0,1,14,3,1,0,0,1,9,1
1,0,21,1,1,0,0,1,6,0
0,0,22,3,1,2,0,1,8,1
0,1,17,1,5,0,0,1,7,1
1,0,45,3,7,4,0,1,16,1
0,1,76,5,13,6,0,1,7,1
0,0,22,1,8,3,0,1,14,1
0,0,5,1,1,0,0,1,11,0
1,0,11,2,1,1,0,1,14,1
1,1,35,3,2,14,0,1,7,1
1,0,40,7,1,6,0,1,8,1
0,0,19,1,5,3,0,1,6,0
0,0,20,3,1,0,0,1,1,1
0,1,32,4,2,0,0,1,6,1
0,1,9,1,1,0,0,1,20,4
1,1,42,4,6,7,0,1,22,1
0,1,28,6,2,1,0,1,14,0
0,1,12,2,1,0,0,1,14,1
1,1,83,12,3,1,0,1,24,1
1,1,38,4,4,2,0,1,21,1
0,1,17,2,2,0,0,1,11,1
1,1,36,4,4,4,0,1,23,3
1,0,10,1,1,2,0,1,7,0
1,0,39,5,4,0,0,1,16,1
0,0,10,2,1,0,0,1,9,1
0,1,33,3,2,8,0,1,73,3
1,1,7,1,1,0,0,1,5,0
0,0,43,3,2,2,0,1,21,2
0,1,29,1,4,0,0,1,2,0
1,0,56,3,3,3,0,1,13,1
1,0,12,2,0,1,0,1,13,1
1,1,21,3,2,0,0,1,9,1
0,1,22,1,3,3,0,1,5,1
1,1,9,1,1,0,0,1,10,1
0,0,8,1,1,0,0,1,14,1
0,1,6,1,1,0,0,1,6,0
1,1,25,2,1,2,0,1,11,1
